id,amis,chinese,image,sound,color
TITLE,恆春阿美語 動物主題（基本詞彙版）,,,,
SENTENCES,O maan konini? (這是什麼?)|Mafana' kiso to nini? (你知道這個嗎?)|Samanen ko ngiha' nonini? (這個怎麼叫?),,,,
DICE,ira ko...|ira ko...|ira ko...,,,,
a,takura',青蛙(恆春),https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743425/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_081617_r9xzk3.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513790/amis_audio/sp_junior/did5_8_1.mp3,#bae6fd
b,ngiyaw,貓,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774742400/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_075941_gmvu30.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513792/amis_audio/sp_junior/did5_8_2.mp3,#ffe8b3
c,diyong,豬,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774742009/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_075223_yc4avu.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513794/amis_audio/sp_junior/did5_8_3.mp3,#fb8c00
d,kolong,牛,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774742796/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_080620_clolxm.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513796/amis_audio/sp_junior/did5_8_4.mp3,#e63946
e,siri,羊,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774742310/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_075753_zehkvt.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513798/amis_audio/sp_junior/did5_8_5.mp3,#f48fb1
f,lotong,猴,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774742683/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_080330_gb8dql.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513800/amis_audio/sp_junior/did5_8_6.mp3,#66bb6a
g,edo,鼠,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743269/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_081341_iy0h1l.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513802/amis_audio/sp_junior/did5_8_7.mp3,#ba68c8
h,koko',雞,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774742829/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_080658_gttt9q.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513805/amis_audio/sp_junior/did5_8_8.mp3,#fdd835
i,ayam,鳥,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743163/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_081223_x4kdr3.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513807/amis_audio/sp_junior/did5_8_9.mp3,#4db6ac
j,futing,魚,https://res.cloudinary.com/dm1ksvptk/image/upload/v1769579622/%E9%AD%9A_2_dnf6jt.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513809/amis_audio/sp_junior/did5_8_10.mp3,#ff8a65
k,takola',青蛙,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743425/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_081617_r9xzk3.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513920/amis_audio/vocabulary/did5_07_12.wav,#bae6fd
l,ekong,貓頭鷹,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743357/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_081541_hh9zgt.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513923/amis_audio/vocabulary/did5_07_13.wav,#ffe8b3
m,fao,蟲(統稱),https://res.cloudinary.com/dm1ksvptk/image/upload/v1778943158/Gemini_Generated_Image_sj3aunsj3aunsj3a_zoxmds.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513925/amis_audio/vocabulary/did5_07_17.wav,#fb8c00
n,rarokoh,烏龜,https://res.cloudinary.com/dm1ksvptk/image/upload/v1778943246/Gemini_Generated_Image_if9kfmif9kfmif9k_ygnqux.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513928/amis_audio/vocabulary/did5_07_18.wav,#e63946
o,lawal,飛鼠,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743525/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_081829_s3cmdk.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513930/amis_audio/vocabulary/did5_07_20.wav,#f48fb1
p,tomay,熊,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743569/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_081918_lle6ha.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513933/amis_audio/vocabulary/did5_07_23.wav,#66bb6a
q,lalangaw,蒼蠅,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743721/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_082148_dofyif.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513935/amis_audio/vocabulary/did5_07_34.wav,#ba68c8
r,fitengal,蜜蜂,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743795/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_082256_nsisfq.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513938/amis_audio/vocabulary/did5_07_35.wav,#fdd835
s,arikak,蚯蚓,https://res.cloudinary.com/dm1ksvptk/image/upload/v1778943498/Gemini_Generated_Image_c5ix70c5ix70c5ix_m8p1bx.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513940/amis_audio/vocabulary/did5_07_39.wav,#4db6ac
t,afar,蝦,https://res.cloudinary.com/dm1ksvptk/image/upload/v1774743873/%E8%9E%A2%E5%B9%95%E6%93%B7%E5%8F%96%E7%95%AB%E9%9D%A2_2026-03-29_082414_tuluq4.png,https://res.cloudinary.com/dm1ksvptk/video/upload/v1779513943/amis_audio/vocabulary/did5_07_42.wav,#ff8a65
