"id","amis","chinese","sound","image","sound_a","sound_b","sound_c","sound_d","sound_e"
"TITLE","海岸阿美語 生活百句 否定句 5_1到5_27","","","","","","","",""
"sentence1","A: O ekong kora? B: Caay, caayay ko ekong kora.","A: 那是貓頭鷹嗎？ B: 不，那不是貓頭鷹。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_1.mp3","","","","","",""
"sentence2","A: O singsi cingra? B: Caay, caayay ko singsi cingra.","A: 他是老師嗎？ B: 不，他不是老師。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_2.mp3","","","","","",""
"sentence3","A: O singsi iso cingra ? B: Caay, caayay ko singsi ako cingra.","A: 她是你的老師嗎？ B: 不，她不是我的老師。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_3.mp3","","","","","",""
"sentence4","A: O kahengangay ko riko’ nira? B: Caay, caayay ko kahengangay ko riko’ nira.","A: 她的衣服是紅色的嗎？ B: 不，她的衣服不是紅色的。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_4.mp3","","","","","",""
"sentence5","A: Kareteng kora ’anengan? B: Caay, caayay ka kareteng kora ’anengan.","A: 那張椅子很重嗎？ B: 不，那張椅子不重。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_5.mp3","","","","","",""
"sentence6","A: Takaraw ko ina iso ? B: Caay, caayay ka takaraw ko ina ako.","A: 你媽媽很高嗎？ B: 不，我媽媽不高。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_6.mp3","","","","","",""
"sentence7","A: Kakaya ko fokes iso ? B: Caay, caayay ka kakaya ko fokes ako.","A: 你的頭髮很長嗎？ B: 不，我的頭髮不長。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_7.mp3","","","","","",""
"sentence8","A: Malalok kora tamdaw? B: Caay, caayay ka lalok.","A: 那個人很勤勞嗎？ B: 不，他不勤勞。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_8.mp3","","","","","",""
"sentence9","A: Ira ko fa’inayan a safa iso? B: Awa, awaay ko fa’inayan a safa ako.","A: 你有弟弟嗎？ B: 不，我沒有弟弟。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_9.mp3","","","","","",""
"sentence10","A: Tata’ak kora loma’ ? B: Caay, caayay ka tata’ak kora loma’.","A: 那間房子很大嗎？ B: 不，那間房子不大。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_10.mp3","","","","","",""
"sentence11","A: Fa’edet anini a romi’ad? B: Caay, caayay ka fa’edet anini.","A: 今天熱嗎？ B: 不，今天不熱。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_11.mp3","","","","","",""
"sentence12","A: Romi’ami’ad minengneng to tilifi cangra? B: Caay, caayay ka saromi’ami’ad minengneng to tilifi cangra.","A: 他們天天看電視嗎？ B: 不，他們沒有天天看電視。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_12.mp3","","","","","",""
"sentence13","A: Romi’ami’ad misa’osi kiso? B: Caay, caayay ka saromi’ami’ad misa’osi kako.","A: 你天天讀書嗎？ B: 不，我沒有天天讀書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_13.mp3","","","","","",""
"sentence14","A: Misa’osi kiso? B: Caay, caayay pisa’osi kako.","A: 你在讀書嗎？ B: 不，我沒有在讀書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_14.mp3","","","","","",""
"sentence15","A: Ma’orad to, mihawikid to linay kiso? B: Caay, caayay pihawikid to linay kako.","A: 下雨了！你帶著雨傘嗎？ B: 不，我沒帶著雨傘。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_15.mp3","","","","","",""
"sentence16","A: Ma’orad to? B: Caay, caayay ka’orad!","A: 在下雨嗎？ B: 不，沒有在下雨！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_16.mp3","","","","","",""
"sentence17","A: Maolah tora codad cingra? B: Caay, caayay kaolah tora codad cingra.","A: 她喜歡那本書嗎？ B: 不，她不喜歡那本書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_17.mp3","","","","","",""
"sentence18","A: Ma’ilol ci amaan kiso? B: Hai, ma’ilol ci amaan kako.","A: 你很想念祖母嗎？ B: 是，我很想念祖母。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/coast/5_18.mp3","","","","","",""
