"id","amis","chinese","sound","image","sound_a","sound_b","sound_c","sound_d","sound_e"
"TITLE","馬蘭阿美語 生活百句 否定句 5_1到5_27","","","","","","","",""
"sentence1","A: O ekong kora haw? B: Cowa, cowa ko ekong kora.","A: 那是貓頭鷹嗎？ B: 不，那不是貓頭鷹。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_1.mp3","","","","","",""
"sentence2","A: O singsi ko mira haw? B: Cowa, cowa ko singsi ko mira.","A: 他是老師嗎？ B: 不，他不是老師。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_2.mp3","","","","","",""
"sentence3","A: O singsi iso ko mira haw? B: Cowa, cowa ko singsi no mako ko mira.","A: 她是你的老師嗎？ B: 不，她不是我的老師。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_3.mp3","","","","","",""
"sentence4","A: O kahengangay ko riko’ no mira haw? B: Cowa, cowa ko kahengangay ko riko’ no mira.","A: 她的衣服是紅色的嗎？ B: 不，她的衣服不是紅色的。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_4.mp3","","","","","",""
"sentence5","A: Karetengay kora hakenang haw? B: Cowa, ca^ka kareteng kora hakenang.","A: 那張椅子很重嗎？ B: 不，那張椅子不重。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_5.mp3","","","","","",""
"sentence6","A: Akawangay ko wina iso haw? B: Cowa, ca^ka akawang ko wina ako.","A: 你媽媽很高嗎？ B: 不，我媽媽不高。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_6.mp3","","","","","",""
"sentence7","A: kiedaway ko fokes iso haw? B: Cowa, ca^ka kiedaw ko fokes ako.","A: 你的頭髮很長嗎？ B: 不，我的頭髮不長。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_7.mp3","","","","","",""
"sentence8","A: Malalokay kora tamdaw haw? B: Cowa, ca^ka lalok ko mira.","A: 那個人很勤勞嗎？ B: 不，他不勤勞。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_8.mp3","","","","","",""
"sentence9","A: Ilaay ko fa’inayan a safa iso haw? B: Awa, awaay ko fa’inayan a safa no mako.","A: 你有弟弟嗎？ B: 不，我沒有弟弟。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_9.mp3","","","","","",""
"sentence10","A: Taangayay kora loma’ haw? B: Cowa, ca^ka taangay kora loma’.","A: 那間房子很大嗎？ B: 不，那間房子不大。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_10.mp3","","","","","",""
"sentence11","A: Fa^detay ko romiad anini haw? B: Cowa, ca^ka fa^det ko romiad anini.","A: 今天熱嗎？ B: 不，今天不熱。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_11.mp3","","","","","",""
"sentence12","A: Romiamiad minengnengay to tilifi samira haw? B: Cowa, ca^ka romiamiad minengneng to tilifi samira.","A: 他們天天看電視嗎？ B: 不，他們沒有天天看電視。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_12.mp3","","","","","",""
"sentence13","A: Romiamiad miosiay to tilid kiso haw? B: Cowa, ca^ka romiamiad a miosi to tilid kako.","A: 你天天讀書嗎？ B: 不，我沒有天天讀書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_13.mp3","","","","","",""
"sentence14","A: Miosiay to tilid kiso haw? B: Cowa, ca^ka piosi to tilid kako.","A: 你在讀書嗎？ B: 不，我沒有在讀書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_14.mp3","","","","","",""
"sentence15","A: Ma’oradayto! Sidinayay kiso haw? B: Cowa, cowa kasidinay kako.","A: 下雨了！你帶著雨傘嗎？ B: 不，我沒帶著雨傘。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_15.mp3","","","","","",""
"sentence16","A: Ma’oraday haw? B: Cowa, cowa ka ’orad!","A: 在下雨嗎？ B: 不，沒有在下雨！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_16.mp3","","","","","",""
"sentence17","A: Maolahay tora tilid ko mira haw? B: Cowa, cowa kaolah tora tilid ko mira.","A: 她喜歡那本書嗎？ B: 不，她不喜歡那本書。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_17.mp3","","","","","",""
"sentence18","A: Mailolay to fofo kiso haw? B: Hay, mailolay to fofo kako .","A: 你很想念祖母嗎？ B: 是，我很想念祖母。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_18.mp3","","","","","",""
"sentence19","A: Tayniay itini malafi to romiamiad kamo haw? B: Cowa, cowa katayni itini malafi to romiamiad kami.","A: 你們天天來這裡吃晚餐嗎？ B: 不，我們沒有天天來這裡吃晚餐。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_19.mp3","","","","","",""
"sentence20","A: Maolahay miconga kora wawa haw? B: Cowa, cowa kaolah miconga ko mira.","A: 那個孩子喜歡畫圖嗎？ B: 不，他不喜歡畫圖。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_20.mp3","","","","","",""
"sentence21","A: Mafana’ay lomadiw kora wawa haw? B: Cowa, cowa kafana’ lomadiw ko mira.","A: 那個孩子會唱歌嗎？ B: 不，他不會唱歌。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_21.mp3","","","","","",""
"sentence22","A: O tatayra i kongkoan a lomadiw kamo haw? B: Cowa, cowa ko tatayra i kongkoan a lomadiw kami.","A: 你們正要去學校唱歌嗎？ B: 不，我們不是要去學校唱歌。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_22.mp3","","","","","",""
"sentence23","A: Nga’ay masadak misalama i ikor no lahok kako haw? B: Akaa, ca^ka nga’ay masadak misalama kiso!","A: 下午我可以出去玩嗎？(請求同意) B: 不，你不可以出去玩！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_23.mp3","","","","","",""
"sentence24","A: Matomesayto to asiro ko kadango nangra haw? B: Cowa, cowaho katomes to asiro ko kadango nangra.","A: 他們的簍子裝滿了橘子嗎？ B: 不，他們的簍子沒有裝滿橘子。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_24.mp3","","","","","",""
"sentence25","A: Aka kafoti’! B: Cowa kafoti’ kako.","A: 別睡覺！ B: 我沒有在睡覺。 C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_25.mp3","","","","","",""
"sentence26","A: Aka kafawahen! B: Hay, mafana’to kako!","A: 別開門！ B: 我知道了！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_26.mp3","","","","","",""
"sentence27","A: Aka katawal minokay a malafi yo! B: Hay, mafana’to kako!","A: 別忘記回來吃晚飯喔！ B: 我知道了！ C: 如果會話只有兩句本欄位請勿更動","https://res.cloudinary.com/dm1ksvptk/video/upload/amis/all_senior_practice/sentence/否定句/malan/5_27.mp3","","","","","",""
